8 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 6 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 12 6 9 9 
10 7 9 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 6 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 12 6 9 9 
10 7 9 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 12 6 9 9 
10 7 9 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 7 6 9 9 
10 7 9 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 7 6 9 9 
10 7 4 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 7 6 9 9 
10 7 4 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 6 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
12 11 6 6 12 11 7 6 9 9 
10 7 4 6 8 9 8 10 5 8 
13 5 5 7 11 10 5 8 13 8 
11 10 14 5 14 13 11 13 14 8 

5 13 13 9 6 14 3 11 6 12 
8 5 9 13 7 5 8 5 13 8 
12 7 11 10 5 14 13 10 10 9 
8 13 7 3 8 11 7 11 9 8 
10 5 11 14 5 5 6 9 5 6 
12 12 8 11 8 11 10 8 6 6 
